,X,DIGESTMOD,QUALITY,PAYLOAD_SIZE_BYTE,ATTACK_PROBABILITY,goodput,avg_verification,latency,frame_rate
47,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.4359445667596998,492.1684538714711,-0.004072038208923635,4.461538461538462
48,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.3845676087266384,338.43611007656574,-0.07008310477096918,
49,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.30144611385740455,211.92579188071568,-0.11504037211034732,
50,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.2143991773885686,124.44350098200542,-0.16244186852949072,
51,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.4368916271239084,1280.0,0.007943691039932935,7.846153846153846
52,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.43521622724680487,1158.8481407061163,0.0652258567131192,5.423076923076923
53,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.3287040458848858,456.2768398824525,0.007683385248737993,1.0
54,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.16528420740694838,144.72652514058683,,
55,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.06108752251085743,42.633966993797216,,
56,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.4367396925941284,256.0,0.00885637715237147,8.0
57,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.43375848938577555,250.86571251417894,0.04171498332024938,6.2
58,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.38756913213288013,207.87055504033808,0.5791539988039752,1.0
59,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.33790402595729024,164.07912709072798,0.8953504061872722,
60,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.2869081518461516,125.86724579830482,1.595479215537111,
61,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.35769997728965436,3840.0,0.013101779572399571,6.730769230769231
62,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.2970917971793786,3175.950462679571,,4.0
63,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.04836872262649257,490.1550053963682,,1.2857142857142858
64,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.004959108312174943,55.497443337694556,,
65,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.0006572307927665869,11.489127628329458,,
66,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.35838727636277157,768.0,0.01568627428290712,5.6923076923076925
67,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.3571119336524594,738.8978289168227,-0.0066601374443857365,4.36
68,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.34138334600990133,506.61717463369695,-0.12752353299667213,1.2
69,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.29728741433337613,319.20314471004696,-0.00946665581669736,
70,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.23239401036934906,188.29880399776005,0.3289428044058572,
71,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.3573657647425664,768.0,0.01472532286857543,6.2592592592592595
72,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.3574767444876196,737.5368123264968,0.03916306382080956,5.230769230769231
73,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.3428439756884748,506.180733426419,0.21397041285347673,1.2222222222222223
74,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.2986195889696858,318.3503382614355,0.46259326450335586,
75,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.23619843848566527,188.2038111500419,0.890857373275462,
76,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.3583360180275293,768.0,0.01633220089290732,6.666666666666667
77,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.356412000349904,737.5852643776774,0.052430393010551725,5.6923076923076925
78,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.34447571072058125,504.31352742800567,0.37849007125142836,1.1666666666666667
79,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.3019594424715769,319.2128611088429,1.0020519710917224,1.0
80,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.23985164034898762,187.9294158081027,1.2405541947340377,
81,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.35712562395394687,1804.7999999999997,0.01371302508011292,7.038461538461538
82,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.35646692404785846,1643.8495565577487,0.08033114968170973,5.28
83,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.3018074847927052,680.5347614885342,1.0677684156861293,1.3333333333333333
84,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.1815040527168835,234.99223634639966,,
85,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.08015123875696867,72.37762505131309,,
86,"0.85 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.3558527391469127,1280.0,0.014890415263931325,6.038461538461538
87,"0.85 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.35675753178624986,1198.2166518003378,0.130551810177906,6.076923076923077
88,"0.85 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.3232831332739116,634.4012507962558,0.8700470617722941,1.4
89,"0.85 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.2385995814238789,294.1573527748489,0.5770884038326113,
90,"0.85 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.14557405541234955,130.12833263568035,,
91,"0.85 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.0,0.6213625590263238,256.0,0.014160751493148847,6.615384615384615
92,"0.85 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.01,0.5888714831964188,241.0265782363704,-0.008895949707473693,3.4761904761904763
93,"0.85 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.1,0.35789184064720353,137.93876233850418,-0.47474030145205975,
94,"0.85 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.2,0.19354743229556537,70.1872619344196,-1.630703346073976,
95,"0.85 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.3,0.09668772225364827,33.89382300738374,,
96,"0.8 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.0,0.6167433944704219,256.0,0.012873643679705477,6.25
97,"0.8 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.01,0.5882213421651955,241.34251565358818,-0.0015975659903629995,3.1363636363636362
98,"0.8 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.1,0.35600681392037403,136.8332884131091,-0.10499907019920011,
99,"0.8 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.2,0.19453720467687838,69.88073450011066,-0.1144230137154517,
100,"0.8 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.3,0.09712638038256233,32.235697171501585,,
101,"0.75 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.0,0.6158786970592831,256.0,0.00338769385902134,6.962962962962963
102,"0.75 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.01,0.5847001535977976,241.01358349157005,0.03251787193020787,3.5
103,"0.75 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.1,0.35998809541470084,137.34610530383196,0.12616186469983,
104,"0.75 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.2,0.19243587979005314,70.25348524403749,0.007867881417195632,
105,"0.75 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.3,0.09552350541694184,35.210085256467224,,
106,"0.7 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.0,0.6167933221414598,256.0,0.01457763473253089,6.36
107,"0.7 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.01,0.5883187943387128,241.17292171177647,0.05137375109181896,3.1818181818181817
108,"0.7 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.1,0.36287580034155903,139.76946316480925,0.5569440387002834,
109,"0.7 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.2,0.19188715245328888,71.65702900380174,0.43261708216692407,
110,"0.7 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.3,0.09625103721758282,34.95056439963803,,
111,"0.9 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.0,0.6124125476240249,512.0,0.0144304807096743,6.962962962962963
112,"0.9 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.01,0.5952779933419553,456.5163053826341,0.10750544278791177,4.416666666666667
113,"0.9 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.1,0.3033034897527592,152.1851020826551,,1.0
114,"0.9 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.2,0.09470938635084791,39.47837197448569,,1.0
115,"0.9 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.3,0.02456917597848725,9.922875389119818,,
116,"0.95 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.0,0.6182402403138193,768.0,0.012905949754614125,6.037037037037037
117,"0.95 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.01,0.5940004848974095,642.6975008660231,0.1359756401050266,4.090909090909091
118,"0.95 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.1,0.21464744719676254,130.5500671872743,,1.0
119,"0.95 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.2,0.03889002716017837,21.368668618339186,,
120,"0.95 opmtial, m_nr: 30, t_nr: 5",sha256,25,16,0.3,0.00508097005622032,6.752234084175552,,
121,"0.85 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.0,0.5116490047334438,512.0,0.012648594778193998,6.7407407407407405
122,"0.85 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.01,0.5045421094348892,483.392882590656,0.1339078688909636,4.777777777777778
123,"0.85 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.1,0.40519169006360767,276.3128328900061,1.6479225985491195,
124,"0.85 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.2,0.25918736525206676,141.16908987103193,3.3377184104247286,
125,"0.85 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.3,0.1414316727871396,65.99481861190192,,
126,"0.7 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.0,0.5097911346811901,256.0,0.01351185896986947,5.423076923076923
127,"0.7 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.01,0.49867365781877715,248.49151729636844,-0.02226587451457976,2.727272727272727
128,"0.7 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.1,0.4070734166752083,187.58915818172386,-0.19556222438546725,
129,"0.7 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.2,0.31507522723398956,132.71957736972098,-0.3969550436363899,
130,"0.7 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.3,0.23263936740256463,90.17145589505857,-0.5162950953223385,
131,"0.9 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.0,0.5091175918809977,768.0,0.013912584756877018,5.1923076923076925
132,"0.9 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.01,0.5073390646883713,702.7181341949141,0.008895147550730077,3.8181818181818183
133,"0.9 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.1,0.38465607262992,302.74701568308984,0.016224215605845266,1.0
134,"0.9 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.2,0.19633302324448998,105.80974710107637,,
135,"0.9 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.3,0.07694469176377819,34.70869193098474,,
136,"0.75 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.0,0.5100133498282907,256.0,0.014230102721197395,6.392857142857143
137,"0.75 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.01,0.4986181998073882,248.35795300477903,0.023787416140883477,3.9
138,"0.75 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.1,0.4092998002652913,186.29777443972125,0.07750285805280967,
139,"0.75 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.2,0.3144225137369327,132.44529728244797,0.6119920401102178,
140,"0.75 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.3,0.23143630990157404,89.25828602219107,1.156453307520501,
141,"0.95 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.0,0.5086131836039378,1792.0,0.013163429532863837,7.148148148148148
142,"0.95 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.01,0.4946748477430392,1452.5091436826476,0.1315768991209356,5.576923076923077
143,"0.95 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.1,0.18191877515642174,225.940598850914,,1.0
