,name,res,p
0,OptiMAC_5/20_p=0.7,45986,0.7
1,OptiMAC_10/20_p=0.7,21021,0.7
2,OptiMAC_15/20_p=0.7,21182,0.7
3,OptiMAC_5/30_p=0.7,57707,0.7
4,OptiMAC_10/30_p=0.7,35507,0.7
5,OptiMAC_15/30_p=0.7,20673,0.7
6,AggMAC_2,20789,0.7
7,AggMAC_3,35494,0.7
8,AggMAC_4,45776,0.7
9,AggMAC_5,53313,0.7
10,trad,0,0.7
11,Whip_2,36439,0.7
12,Whip_3,53629,0.7
13,Whip_4,61548,0.7
14,Whip_5,65101,0.7
0,OptiMAC_5/20_p=0.8,38626,0.8
1,OptiMAC_10/20_p=0.8,22802,0.8
2,OptiMAC_15/20_p=0.8,11263,0.8
3,OptiMAC_5/30_p=0.8,53544,0.8
4,OptiMAC_10/30_p=0.8,37455,0.8
5,OptiMAC_15/30_p=0.8,20464,0.8
6,AggMAC_2,15948,0.8
7,AggMAC_3,29009,0.8
8,AggMAC_4,39302,0.8
9,AggMAC_5,47689,0.8
10,trad,0,0.8
11,Whip_2,30653,0.8
12,Whip_3,48678,0.8
13,Whip_4,59815,0.8
14,Whip_5,67055,0.8
0,OptiMAC_5/20_p=0.9,28079,0.9
1,OptiMAC_10/20_p=0.9,22183,0.9
2,OptiMAC_15/20_p=0.9,12826,0.9
3,OptiMAC_5/30_p=0.9,45884,0.9
4,OptiMAC_10/30_p=0.9,21739,0.9
5,OptiMAC_15/30_p=0.9,15772,0.9
6,AggMAC_2,8883,0.9
7,AggMAC_3,16995,0.9
8,AggMAC_4,24227,0.9
9,AggMAC_5,31084,0.9
10,trad,0,0.9
11,Whip_2,20354,0.9
12,Whip_3,35562,0.9
13,Whip_4,47605,0.9
14,Whip_5,56407,0.9
