,name,res,p
0,OptiMAC_5/20_p=0.7,0.05017390837250845,0.7
1,OptiMAC_10/20_p=0.7,0.0558830708197633,0.7
2,OptiMAC_15/20_p=0.7,0.03891488088180355,0.7
3,OptiMAC_5/30_p=0.7,0.03423456337994216,0.7
4,OptiMAC_10/30_p=0.7,0.056292991950589386,0.7
5,OptiMAC_15/30_p=0.7,0.056095517965275954,0.7
6,AggMAC_2,0.05603527580089733,0.7
7,AggMAC_3,0.05736002977791293,0.7
8,AggMAC_4,0.05086526116495374,0.7
9,AggMAC_5,0.04311267895348615,0.7
10,trad,0.04195767706441294,0.7
11,Whip_2,0.038592493184775443,0.7
12,Whip_3,0.026816232001867814,0.7
13,Whip_4,0.017383819751365163,0.7
14,Whip_5,0.010665578393541061,0.7
0,OptiMAC_5/20_p=0.8,0.08510921120311356,0.8
1,OptiMAC_10/20_p=0.8,0.06406800436267268,0.8
2,OptiMAC_15/20_p=0.8,0.05960877266440442,0.8
3,OptiMAC_5/30_p=0.8,0.07490560463965577,0.8
4,OptiMAC_10/30_p=0.8,0.07075840503626975,0.8
5,OptiMAC_15/30_p=0.8,0.06790247358077131,0.8
6,AggMAC_2,0.07268719065372396,0.8
7,AggMAC_3,0.08305180023831511,0.8
8,AggMAC_4,0.08540083318013654,0.8
9,AggMAC_5,0.08151983304062307,0.8
10,trad,0.047610395073425335,0.8
11,Whip_2,0.055606095943946054,0.8
12,Whip_3,0.04973655849017581,0.8
13,Whip_4,0.03902357678563837,0.8
14,Whip_5,0.030827592325793414,0.8
0,OptiMAC_5/20_p=0.9,0.12740095939869123,0.9
1,OptiMAC_10/20_p=0.9,0.09573165366374177,0.9
2,OptiMAC_15/20_p=0.9,0.08912889428013242,0.9
3,OptiMAC_5/30_p=0.9,0.1234311679931098,0.9
4,OptiMAC_10/30_p=0.9,0.10955135536237877,0.9
5,OptiMAC_15/30_p=0.9,0.10261926743689549,0.9
6,AggMAC_2,0.09106602655411547,0.9
7,AggMAC_3,0.11644137662531681,0.9
8,AggMAC_4,0.13353437899849363,0.9
9,AggMAC_5,0.14399789178816713,0.9
10,trad,0.053252210495884605,0.9
11,Whip_2,0.0778363994004881,0.9
12,Whip_3,0.08661697654814149,0.9
13,Whip_4,0.0848241424745126,0.9
14,Whip_5,0.08017997788946514,0.9
