,name,res,p
0,OptiMAC_5/20_p=0.7,0.3150160255280394,0.7
1,OptiMAC_10/20_p=0.7,0.654803870326818,0.7
2,OptiMAC_15/20_p=0.7,0.636931999365594,0.7
3,OptiMAC_5/30_p=0.7,0.15070912645069262,0.7
4,OptiMAC_10/30_p=0.7,0.4612762338876085,0.7
5,OptiMAC_15/30_p=0.7,0.657912166203279,0.7
6,AggMAC_2,0.661641534745791,0.7
7,AggMAC_3,0.46262911541885343,0.7
8,AggMAC_4,0.31972887719688553,0.7
9,AggMAC_5,0.23068262574621046,0.7
10,trad,0.9166605926454371,0.7
11,Whip_2,0.43707986022870277,0.7
12,Whip_3,0.2094798710408352,0.7
13,Whip_4,0.10333441022750847,0.7
14,Whip_5,0.05717583566365928,0.7
0,OptiMAC_5/20_p=0.8,0.4861616797398232,0.8
1,OptiMAC_10/20_p=0.8,0.6655054148473477,0.8
2,OptiMAC_15/20_p=0.8,0.801068654684952,0.8
3,OptiMAC_5/30_p=0.8,0.3059420471508784,0.8
4,OptiMAC_10/30_p=0.8,0.491451925537805,0.8
5,OptiMAC_15/30_p=0.8,0.7130045327696887,0.8
6,AggMAC_2,0.76465758859915,0.8
7,AggMAC_3,0.611865749115009,0.8
8,AggMAC_4,0.49016261458140126,0.8
9,AggMAC_5,0.3940678752296897,0.8
10,trad,0.9266601765557927,0.8
11,Whip_2,0.5773376219932701,0.8
12,Whip_3,0.3572781389484937,0.8
13,Whip_4,0.22678773608566374,0.8
14,Whip_5,0.14343803615090936,0.8
0,OptiMAC_5/20_p=0.9,0.6686466433185744,0.9
1,OptiMAC_10/20_p=0.9,0.7214223025107703,0.9
2,OptiMAC_15/20_p=0.9,0.8038188859357902,0.9
3,OptiMAC_5/30_p=0.9,0.4659727346468898,0.9
4,OptiMAC_10/30_p=0.9,0.7237375114983849,0.9
5,OptiMAC_15/30_p=0.9,0.7921446880465336,0.9
6,AggMAC_2,0.8681163866345257,0.9
7,AggMAC_3,0.7897112073451591,0.9
8,AggMAC_4,0.7083172623643872,0.9
9,AggMAC_5,0.6292374973088036,0.9
10,trad,0.9346936909241218,0.9
11,Whip_2,0.7405185036692938,0.9
12,Whip_3,0.574434231801212,0.9
13,Whip_4,0.44755790952561064,0.9
14,Whip_5,0.3525296283532623,0.9
