,name,res,p
0,OptiMAC_5/20_p=0.7,45907,0.7
1,OptiMAC_10/20_p=0.7,20770,0.7
2,OptiMAC_15/20_p=0.7,21230,0.7
3,OptiMAC_5/30_p=0.7,58119,0.7
4,OptiMAC_10/30_p=0.7,35583,0.7
5,OptiMAC_15/30_p=0.7,20924,0.7
6,AggMAC_2,20846,0.7
7,AggMAC_3,35394,0.7
8,AggMAC_4,46018,0.7
9,AggMAC_5,53128,0.7
10,trad,0,0.7
11,Whip_2,36847,0.7
12,Whip_3,53346,0.7
13,Whip_4,61353,0.7
14,Whip_5,65348,0.7
0,OptiMAC_5/20_p=0.8,39084,0.8
1,OptiMAC_10/20_p=0.8,22995,0.8
2,OptiMAC_15/20_p=0.8,11240,0.8
3,OptiMAC_5/30_p=0.8,53839,0.8
4,OptiMAC_10/30_p=0.8,37061,0.8
5,OptiMAC_15/30_p=0.8,20073,0.8
6,AggMAC_2,15919,0.8
7,AggMAC_3,28815,0.8
8,AggMAC_4,38497,0.8
9,AggMAC_5,47429,0.8
10,trad,0,0.8
11,Whip_2,30879,0.8
12,Whip_3,49018,0.8
13,Whip_4,60116,0.8
14,Whip_5,67175,0.8
0,OptiMAC_5/20_p=0.9,27887,0.9
1,OptiMAC_10/20_p=0.9,21880,0.9
2,OptiMAC_15/20_p=0.9,12526,0.9
3,OptiMAC_5/30_p=0.9,45741,0.9
4,OptiMAC_10/30_p=0.9,22605,0.9
5,OptiMAC_15/30_p=0.9,15779,0.9
6,AggMAC_2,9042,0.9
7,AggMAC_3,17174,0.9
8,AggMAC_4,24550,0.9
9,AggMAC_5,30725,0.9
10,trad,0,0.9
11,Whip_2,20534,0.9
12,Whip_3,35953,0.9
13,Whip_4,47383,0.9
14,Whip_5,56963,0.9
