,name,res,p
0,OptiMAC_5/20_p=0.7,46091,0.7
1,OptiMAC_10/20_p=0.7,21049,0.7
2,OptiMAC_15/20_p=0.7,21076,0.7
3,OptiMAC_5/30_p=0.7,58453,0.7
4,OptiMAC_10/30_p=0.7,35845,0.7
5,OptiMAC_15/30_p=0.7,21003,0.7
6,AggMAC_2,21104,0.7
7,AggMAC_3,35434,0.7
8,AggMAC_4,46005,0.7
9,AggMAC_5,53230,0.7
10,trad,0,0.7
11,Whip_2,36695,0.7
12,Whip_3,53658,0.7
13,Whip_4,61656,0.7
14,Whip_5,65252,0.7
0,OptiMAC_5/20_p=0.8,39002,0.8
1,OptiMAC_10/20_p=0.8,23200,0.8
2,OptiMAC_15/20_p=0.8,11345,0.8
3,OptiMAC_5/30_p=0.8,53614,0.8
4,OptiMAC_10/30_p=0.8,37381,0.8
5,OptiMAC_15/30_p=0.8,19687,0.8
6,AggMAC_2,16004,0.8
7,AggMAC_3,28609,0.8
8,AggMAC_4,38894,0.8
9,AggMAC_5,47284,0.8
10,trad,0,0.8
11,Whip_2,30750,0.8
12,Whip_3,48953,0.8
13,Whip_4,60367,0.8
14,Whip_5,67032,0.8
0,OptiMAC_5/20_p=0.9,26634,0.9
1,OptiMAC_10/20_p=0.9,22268,0.9
2,OptiMAC_15/20_p=0.9,12125,0.9
3,OptiMAC_5/30_p=0.9,45882,0.9
4,OptiMAC_10/30_p=0.9,21273,0.9
5,OptiMAC_15/30_p=0.9,15462,0.9
6,AggMAC_2,8989,0.9
7,AggMAC_3,17166,0.9
8,AggMAC_4,24121,0.9
9,AggMAC_5,30779,0.9
10,trad,0,0.9
11,Whip_2,20250,0.9
12,Whip_3,35609,0.9
13,Whip_4,47951,0.9
14,Whip_5,56764,0.9
