,name,res,p
0,OptiMAC_25/30_p=0.6,0.4016588728850869,0.6
1,OptiMAC_30/30_p=0.6,0.5869298353388698,0.6
2,OptiMAC_18/30_p=0.6,0.22863829373938807,0.6
3,OptiMAC_13/25_p=0.6,0.5404647834679759,0.6
4,OptiMAC_14/25_p=0.6,0.5326468204927514,0.6
5,OptiMAC_15/25_p=0.6,0.5267159276663117,0.6
6,OptiMAC_16/25_p=0.6,0.5289216402938288,0.6
7,OptiMAC_18/25_p=0.6,0.5456290481550957,0.6
8,OptiMAC_20/25_p=0.6,0.5832009226875585,0.6
9,OptiMAC_22/25_p=0.6,0.6093002556082794,0.6
10,OptiMAC_25/25_p=0.6,0.6868448856225362,0.6
11,AggMAC_2,0.5281585823760889,0.6
12,AggMAC_3,0.32388546337118274,0.6
13,AggMAC_4,0.19386026056068387,0.6
14,AggMAC_5,0.11042570817751303,0.6
15,trad,0.8230924323433468,0.6
16,Whip_2,0.3000634404070438,0.6
17,Whip_3,0.10716853499341603,0.6
18,Whip_4,0.04425520980065752,0.6
19,Whip_5,0.01858660635263806,0.6
20,OptiMAC_5/30_p=0.6,0.06919581246019776,0.6
21,OptiMAC_10/30_p=0.6,0.3206172343322796,0.6
22,Golomb,0.4972880711327716,0.6
23,g-Sidon_2,0.3965439993405893,0.6
0,OptiMAC_5/20_p=0.7,0.3065369317209721,0.7
1,OptiMAC_10/20_p=0.7,0.6270298137176166,0.7
2,OptiMAC_15/20_p=0.7,0.5938436354008118,0.7
3,OptiMAC_5/30_p=0.7,0.1536584705313364,0.7
4,OptiMAC_10/30_p=0.7,0.45206663001893466,0.7
5,OptiMAC_15/30_p=0.7,0.6318269041939618,0.7
6,AggMAC_2,0.6343849534194046,0.7
7,AggMAC_3,0.4528149111650529,0.7
8,AggMAC_4,0.3142841354546256,0.7
9,AggMAC_5,0.22004978595214914,0.7
10,trad,0.8458500157782447,0.7
11,Whip_2,0.4212669793518576,0.7
12,Whip_3,0.20596494918508715,0.7
13,Whip_4,0.10438357397725155,0.7
14,Whip_5,0.056475017211824706,0.7
15,OptiMAC_25/30_p=0.7,0.5169142641655817,0.7
16,OptiMAC_30/30_p=0.7,0.7302629858675084,0.7
17,OptiMAC_18/30_p=0.7,0.5634358517891008,0.7
18,OptiMAC_13/25_p=0.7,0.6353793565446358,0.7
19,OptiMAC_14/25_p=0.7,0.5192052333744217,0.7
20,OptiMAC_15/25_p=0.7,0.5433559094504531,0.7
21,OptiMAC_16/25_p=0.7,0.5912404390393078,0.7
22,OptiMAC_18/25_p=0.7,0.6378905475601285,0.7
23,OptiMAC_20/25_p=0.7,0.652425097276105,0.7
24,OptiMAC_22/25_p=0.7,0.6499205790665608,0.7
25,OptiMAC_25/25_p=0.7,0.7163262083014315,0.7
26,Golomb,0.6588900783005542,0.7
