,name,res,p
0,OptiMAC_25/30_p=0.6,31047,0.6
1,OptiMAC_30/30_p=0.6,16603,0.6
2,OptiMAC_18/30_p=0.6,43804,0.6
3,OptiMAC_13/25_p=0.6,23388,0.6
4,OptiMAC_14/25_p=0.6,23305,0.6
5,OptiMAC_15/25_p=0.6,23427,0.6
6,OptiMAC_16/25_p=0.6,23178,0.6
7,OptiMAC_18/25_p=0.6,21263,0.6
8,OptiMAC_20/25_p=0.6,18418,0.6
9,OptiMAC_22/25_p=0.6,15840,0.6
10,OptiMAC_25/25_p=0.6,9540,0.6
11,AggMAC_2,23973,0.6
12,AggMAC_3,38578,0.6
13,AggMAC_4,46924,0.6
14,AggMAC_5,52258,0.6
15,trad,0,0.6
16,Whip_2,38795,0.6
17,Whip_3,52035,0.6
18,Whip_4,56828,0.6
19,Whip_5,58361,0.6
20,OptiMAC_5/30_p=0.6,55318,0.6
21,OptiMAC_10/30_p=0.6,38704,0.6
22,Golomb,22263,0.6
23,g-Sidon_2,29834,0.6
0,OptiMAC_5/20_p=0.7,45801,0.7
1,OptiMAC_10/20_p=0.7,20832,0.7
2,OptiMAC_15/20_p=0.7,21362,0.7
3,OptiMAC_5/30_p=0.7,58201,0.7
4,OptiMAC_10/30_p=0.7,35446,0.7
5,OptiMAC_15/30_p=0.7,21009,0.7
6,AggMAC_2,20980,0.7
7,AggMAC_3,35656,0.7
8,AggMAC_4,45787,0.7
9,AggMAC_5,53042,0.7
10,trad,0,0.7
11,Whip_2,36714,0.7
12,Whip_3,53586,0.7
13,Whip_4,61489,0.7
14,Whip_5,65237,0.7
15,OptiMAC_25/30_p=0.7,27362,0.7
16,OptiMAC_30/30_p=0.7,9240,0.7
17,OptiMAC_18/30_p=0.7,25828,0.7
18,OptiMAC_13/25_p=0.7,20410,0.7
19,OptiMAC_14/25_p=0.7,28332,0.7
20,OptiMAC_15/25_p=0.7,26415,0.7
21,OptiMAC_16/25_p=0.7,23077,0.7
22,OptiMAC_18/25_p=0.7,18321,0.7
23,OptiMAC_20/25_p=0.7,16692,0.7
24,OptiMAC_22/25_p=0.7,15946,0.7
25,OptiMAC_25/25_p=0.7,10104,0.7
26,Golomb,14779,0.7
27,g-Sidon_2,21277,0.7
0,OptiMAC_5/20_p=0.8,38886,0.8
1,OptiMAC_10/20_p=0.8,23469,0.8
2,OptiMAC_15/20_p=0.8,11325,0.8
3,OptiMAC_5/30_p=0.8,52960,0.8
4,OptiMAC_10/30_p=0.8,36997,0.8
5,OptiMAC_15/30_p=0.8,20069,0.8
6,AggMAC_2,16135,0.8
7,AggMAC_3,28783,0.8
8,AggMAC_4,39321,0.8
9,AggMAC_5,46983,0.8
10,trad,0,0.8
11,Whip_2,30673,0.8
12,Whip_3,49345,0.8
13,Whip_4,60125,0.8
14,Whip_5,67336,0.8
15,OptiMAC_25/30_p=0.8,12256,0.8
16,OptiMAC_30/30_p=0.8,7836,0.8
17,OptiMAC_18/30_p=0.8,34297,0.8
18,OptiMAC_13/25_p=0.8,18806,0.8
19,OptiMAC_14/25_p=0.8,23139,0.8
20,OptiMAC_15/25_p=0.8,19785,0.8
21,OptiMAC_16/25_p=0.8,18652,0.8
22,OptiMAC_18/25_p=0.8,12978,0.8
23,OptiMAC_20/25_p=0.8,14004,0.8
24,OptiMAC_22/25_p=0.8,10717,0.8
25,OptiMAC_25/25_p=0.8,9128,0.8
26,Golomb,6845,0.8
27,g-Sidon_2,10718,0.8
28,g-Sidon_2,11084,0.8
0,OptiMAC_5/20_p=0.9,27454,0.9
1,OptiMAC_10/20_p=0.9,21460,0.9
2,OptiMAC_15/20_p=0.9,12733,0.9
3,OptiMAC_5/30_p=0.9,45562,0.9
4,OptiMAC_10/30_p=0.9,22315,0.9
5,OptiMAC_15/30_p=0.9,16110,0.9
6,AggMAC_2,9166,0.9
7,AggMAC_3,17264,0.9
8,AggMAC_4,24079,0.9
9,AggMAC_5,30802,0.9
10,trad,0,0.9
11,Whip_2,20447,0.9
12,Whip_3,35890,0.9
13,Whip_4,47803,0.9
14,Whip_5,56817,0.9
15,OptiMAC_30/30_p=0.9,75322,0.9
16,OptiMAC_25/30_p=0.9,69764,0.9
17,OptiMAC_18/30_p=0.9,69068,0.9
18,OptiMAC_13/25_p=0.9,16766,0.9
19,OptiMAC_14/25_p=0.9,7658,0.9
20,OptiMAC_15/25_p=0.9,14857,0.9
21,OptiMAC_16/25_p=0.9,12783,0.9
22,OptiMAC_18/25_p=0.9,12199,0.9
23,OptiMAC_20/25_p=0.9,10609,0.9
24,OptiMAC_22/25_p=0.9,7384,0.9
25,OptiMAC_25/25_p=0.9,6452,0.9
26,g-Sidon_2,3252,0.9
27,Golomb,1857,0.9
