,name,res,p
0,OptiMAC_5/20_p=0.7,46108,0.7
1,OptiMAC_10/20_p=0.7,21017,0.7
2,OptiMAC_15/20_p=0.7,21246,0.7
3,OptiMAC_5/30_p=0.7,57881,0.7
4,OptiMAC_10/30_p=0.7,35734,0.7
5,OptiMAC_15/30_p=0.7,21111,0.7
6,AggMAC_2,21100,0.7
7,AggMAC_3,35718,0.7
8,AggMAC_4,45977,0.7
9,AggMAC_5,53314,0.7
10,trad,0,0.7
11,Whip_2,36773,0.7
12,Whip_3,53607,0.7
13,Whip_4,61588,0.7
14,Whip_5,65741,0.7
0,OptiMAC_5/20_p=0.8,39054,0.8
1,OptiMAC_10/20_p=0.8,23677,0.8
2,OptiMAC_15/20_p=0.8,11108,0.8
3,OptiMAC_5/30_p=0.8,53643,0.8
4,OptiMAC_10/30_p=0.8,37748,0.8
5,OptiMAC_15/30_p=0.8,20228,0.8
6,AggMAC_2,16132,0.8
7,AggMAC_3,29097,0.8
8,AggMAC_4,39183,0.8
9,AggMAC_5,47335,0.8
10,trad,0,0.8
11,Whip_2,30704,0.8
12,Whip_3,49165,0.8
13,Whip_4,60256,0.8
14,Whip_5,67377,0.8
0,OptiMAC_5/20_p=0.9,26912,0.9
1,OptiMAC_10/20_p=0.9,21851,0.9
2,OptiMAC_15/20_p=0.9,12938,0.9
3,OptiMAC_5/30_p=0.9,45194,0.9
4,OptiMAC_10/30_p=0.9,21682,0.9
5,OptiMAC_15/30_p=0.9,15661,0.9
6,AggMAC_2,8996,0.9
7,AggMAC_3,17013,0.9
8,AggMAC_4,24547,0.9
9,AggMAC_5,30752,0.9
10,trad,0,0.9
11,Whip_2,20280,0.9
12,Whip_3,35652,0.9
13,Whip_4,47641,0.9
14,Whip_5,56534,0.9
