,name,res,p
0,OptiMAC_5/20_p=0.7,45836,0.7
1,OptiMAC_10/20_p=0.7,21041,0.7
2,OptiMAC_15/20_p=0.7,20992,0.7
3,OptiMAC_5/30_p=0.7,58388,0.7
4,OptiMAC_10/30_p=0.7,35394,0.7
5,OptiMAC_15/30_p=0.7,21267,0.7
6,AggMAC_2,21090,0.7
7,AggMAC_3,35578,0.7
8,AggMAC_4,45953,0.7
9,AggMAC_5,53244,0.7
10,trad,0,0.7
11,Whip_2,36432,0.7
12,Whip_3,53573,0.7
13,Whip_4,61467,0.7
14,Whip_5,65222,0.7
0,OptiMAC_5/20_p=0.8,39425,0.8
1,OptiMAC_10/20_p=0.8,23356,0.8
2,OptiMAC_15/20_p=0.8,11030,0.8
3,OptiMAC_5/30_p=0.8,53791,0.8
4,OptiMAC_10/30_p=0.8,37800,0.8
5,OptiMAC_15/30_p=0.8,19842,0.8
6,AggMAC_2,15907,0.8
7,AggMAC_3,29035,0.8
8,AggMAC_4,38857,0.8
9,AggMAC_5,47226,0.8
10,trad,0,0.8
11,Whip_2,30690,0.8
12,Whip_3,49143,0.8
13,Whip_4,60483,0.8
14,Whip_5,66932,0.8
0,OptiMAC_5/20_p=0.9,27226,0.9
1,OptiMAC_10/20_p=0.9,21734,0.9
2,OptiMAC_15/20_p=0.9,12679,0.9
3,OptiMAC_5/30_p=0.9,45851,0.9
4,OptiMAC_10/30_p=0.9,22016,0.9
5,OptiMAC_15/30_p=0.9,15655,0.9
6,AggMAC_2,9006,0.9
7,AggMAC_3,17246,0.9
8,AggMAC_4,24464,0.9
9,AggMAC_5,31302,0.9
10,trad,0,0.9
11,Whip_2,20285,0.9
12,Whip_3,35873,0.9
13,Whip_4,48160,0.9
14,Whip_5,56873,0.9
