,name,res,p
0,OptiMAC_5/20_p=0.7,0.27861756711991426,0.7
1,OptiMAC_10/20_p=0.7,0.5052898257243555,0.7
2,OptiMAC_15/20_p=0.7,0.4442368611313214,0.7
3,OptiMAC_5/30_p=0.7,0.13924156632916457,0.7
4,OptiMAC_10/30_p=0.7,0.3812964846730457,0.7
5,OptiMAC_15/30_p=0.7,0.5082626648378528,0.7
6,AggMAC_2,0.5097540501441034,0.7
7,AggMAC_3,0.3866475763266007,0.7
8,AggMAC_4,0.2865027173922916,0.7
9,AggMAC_5,0.19814429899922506,0.7
10,trad,0.5799345409975915,0.7
11,Whip_2,0.33806147560545197,0.7
12,Whip_3,0.17666073131592766,0.7
13,Whip_4,0.08865829102493078,0.7
14,Whip_5,0.0501420901283999,0.7
0,OptiMAC_5/20_p=0.8,0.42512383167316037,0.8
1,OptiMAC_10/20_p=0.8,0.5327316047446318,0.8
2,OptiMAC_15/20_p=0.8,0.5772006998339108,0.8
3,OptiMAC_5/30_p=0.8,0.28496014990250895,0.8
4,OptiMAC_10/30_p=0.8,0.43085976409214055,0.8
5,OptiMAC_15/30_p=0.8,0.5607592154729379,0.8
6,AggMAC_2,0.6054724103684896,0.8
7,AggMAC_3,0.521013451208362,0.8
8,AggMAC_4,0.43814419426067125,0.8
9,AggMAC_5,0.3546088508327603,0.8
10,trad,0.613938344741141,0.8
11,Whip_2,0.4649440633443979,0.8
12,Whip_3,0.3042737399768356,0.8
13,Whip_4,0.19747158955951227,0.8
14,Whip_5,0.13354585161086335,0.8
0,OptiMAC_5/20_p=0.9,0.596400863895156,0.9
1,OptiMAC_10/20_p=0.9,0.5776642342941478,0.9
2,OptiMAC_15/20_p=0.9,0.5990087720996342,0.9
3,OptiMAC_5/30_p=0.9,0.4352998387383825,0.9
4,OptiMAC_10/30_p=0.9,0.6261187709723761,0.9
5,OptiMAC_15/30_p=0.9,0.6402382751873555,0.9
6,AggMAC_2,0.7030397890539859,0.9
7,AggMAC_3,0.6767899208823799,0.9
8,AggMAC_4,0.6376959012178826,0.9
9,AggMAC_5,0.5791718818303148,0.9
10,trad,0.6419479615518007,0.9
11,Whip_2,0.5983709434791114,0.9
12,Whip_3,0.49745296695394775,0.9
13,Whip_4,0.4008890566663777,0.9
14,Whip_5,0.321869444358213,0.9
