,name,res,p
0,OptiMAC_5/20_p=0.7,0.13729806512137804,0.7
1,OptiMAC_10/20_p=0.7,0.18047828955292905,0.7
2,OptiMAC_15/20_p=0.7,0.13102811343335086,0.7
3,OptiMAC_5/30_p=0.7,0.08218768129818321,0.7
4,OptiMAC_10/30_p=0.7,0.16435600693450245,0.7
5,OptiMAC_15/30_p=0.7,0.17984586835266772,0.7
6,AggMAC_2,0.18033005154864112,0.7
7,AggMAC_3,0.16753151378847544,0.7
8,AggMAC_4,0.1377713705796843,0.7
9,AggMAC_5,0.10887487228452988,0.7
10,trad,0.1484178407591962,0.7
11,Whip_2,0.12125938068968055,0.7
12,Whip_3,0.07795411184777032,0.7
13,Whip_4,0.04682886113854883,0.7
14,Whip_5,0.028103484168673264,0.7
0,OptiMAC_5/20_p=0.8,0.22480413668751745,0.8
1,OptiMAC_10/20_p=0.8,0.20022856430237054,0.8
2,OptiMAC_15/20_p=0.8,0.17959051456116878,0.8
3,OptiMAC_5/30_p=0.8,0.1753795836280296,0.8
4,OptiMAC_10/30_p=0.8,0.19509446177563075,0.8
5,OptiMAC_15/30_p=0.8,0.21219564058326426,0.8
6,AggMAC_2,0.22850230168208188,0.8
7,AggMAC_3,0.2396123391501623,0.8
8,AggMAC_4,0.22337581067413054,0.8
9,AggMAC_5,0.20147202294340813,0.8
10,trad,0.16669209397962037,0.8
11,Whip_2,0.17402235697156493,0.8
12,Whip_3,0.14081601847226974,0.8
13,Whip_4,0.10475823323293057,0.8
14,Whip_5,0.07655215605823644,0.8
0,OptiMAC_5/20_p=0.9,0.3270756444883291,0.9
1,OptiMAC_10/20_p=0.9,0.23948976964632906,0.9
2,OptiMAC_15/20_p=0.9,0.2554844710533117,0.9
3,OptiMAC_5/30_p=0.9,0.27897414826481454,0.9
4,OptiMAC_10/30_p=0.9,0.3043862339492957,0.9
5,OptiMAC_15/30_p=0.9,0.26421122088950805,0.9
6,AggMAC_2,0.27984748943364124,0.9
7,AggMAC_3,0.327659358338467,0.9
8,AggMAC_4,0.3434623777138898,0.9
9,AggMAC_5,0.34593934173952534,0.9
10,trad,0.18368180568333764,0.9
11,Whip_2,0.23916135455305063,0.9
12,Whip_3,0.24028586241769945,0.9
13,Whip_4,0.21999937942061074,0.9
14,Whip_5,0.1909685941431592,0.9
